                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2465,                 6.1285,                 2.3426,                      0,                      0,                      0,                      0,                 1.1122,                 6.8409,                 1.5999,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 2.2132,                 6.0658,                 2.2512,                      0,                      0,                      0,                      0,                 1.0642,                 6.7607,                 1.5578,             3.5347e-06,             3.5347e-06,             3.5347e-06
                      3,                  2.332,                 6.2181,                 2.3925,                      0,                      0,                      0,                      0,                 1.0622,                 6.7091,                 1.5553,             5.8322e-06,             5.8322e-06,             5.8322e-06
                      4,                 2.1038,                 5.7301,                  2.189,                      0,                      0,                      0,                      0,                  1.053,                 6.5774,                 1.5526,             8.0826e-06,             8.0826e-06,             8.0826e-06
                      5,                 2.3264,                 5.8728,                 2.2794,                      0,                      0,                      0,                      0,                 1.0305,                 6.5537,                  1.533,             1.0286e-05,             1.0286e-05,             1.0286e-05
                      6,                 2.0882,                  5.641,                 2.1775,                      0,                      0,                      0,                      0,                0.99846,                 6.4714,                 1.4797,             1.2442e-05,             1.2442e-05,             1.2442e-05
                      7,                 2.2644,                 5.2162,                 2.2497,                      0,                      0,                      0,                      0,                 1.0004,                  6.404,                 1.4768,             1.4551e-05,             1.4551e-05,             1.4551e-05
                      8,                 1.9867,                 4.9115,                 2.0644,                      0,                      0,                      0,                      0,                0.96699,                 6.2337,                 1.4479,             1.6613e-05,             1.6613e-05,             1.6613e-05
                      9,                 1.8978,                 4.5579,                 1.9189,                      0,                      0,                      0,                      0,                0.94796,                 6.1941,                 1.4286,             1.8628e-05,             1.8628e-05,             1.8628e-05
                     10,                 2.0865,                 4.3068,                  2.094,                      0,                      0,                      0,                      0,                0.94384,                 6.1394,                 1.4235,             2.0595e-05,             2.0595e-05,             2.0595e-05
                     11,                 2.0093,                 4.1205,                  1.993,                0.00625,                   0.25,                0.00518,                0.00518,                0.94446,                 6.0659,                  1.433,             2.2516e-05,             2.2516e-05,             2.2516e-05
                     12,                 1.9991,                 3.8318,                 2.0823,                0.01176,                    0.5,                0.01579,                0.01482,                0.95739,                 6.0882,                 1.4472,             2.4389e-05,             2.4389e-05,             2.4389e-05
                     13,                   1.86,                 3.6689,                 1.8053,                0.01136,                    0.5,                0.02211,                0.01922,                0.96152,                 6.0402,                 1.4505,             2.6216e-05,             2.6216e-05,             2.6216e-05
                     14,                 1.9491,                 3.6383,                 2.0228,                0.01136,                    0.5,                0.03015,                0.02591,                0.95259,                 5.9474,                 1.4732,             2.7995e-05,             2.7995e-05,             2.7995e-05
                     15,                 1.8896,                 3.4174,                  1.881,                0.01053,                    0.5,                0.02031,                0.01842,                0.93802,                  5.843,                 1.4728,             2.9727e-05,             2.9727e-05,             2.9727e-05
                     16,                 1.7508,                 3.0372,                 1.9037,                0.00971,                    0.5,                0.03109,                0.02929,                0.93667,                 5.7511,                 1.4569,             3.1412e-05,             3.1412e-05,             3.1412e-05
                     17,                 1.7816,                 2.8318,                 1.8019,                0.00885,                    0.5,                0.02189,                0.02094,                0.94154,                 5.7565,                 1.4683,              3.305e-05,              3.305e-05,              3.305e-05
                     18,                 1.5958,                 2.6888,                  1.731,                0.00877,                    0.5,                0.02843,                0.02682,                0.96278,                 5.7315,                 1.4755,              3.464e-05,              3.464e-05,              3.464e-05
                     19,                 1.8275,                 2.5827,                 1.8525,                 0.0084,                    0.5,                0.03827,                 0.0355,                  1.009,                 5.8133,                 1.5005,             3.6184e-05,             3.6184e-05,             3.6184e-05
