                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7534,                 5.6641,                 2.3109,                      0,                      0,                      0,                      0,                  1.129,                 6.9621,                 1.6124,                      0,                      0,                      0
                      2,                 1.4458,                 5.1758,                 1.8113,                      0,                      0,                      0,                      0,                 1.1206,                 6.8486,                 1.5991,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.5071,                 5.5127,                 1.8473,                      0,                      0,                      0,                      0,                 1.0604,                 6.7964,                 1.5542,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.6134,                 5.0111,                 2.0404,                      0,                      0,                      0,                      0,                  1.081,                 6.7372,                 1.5668,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.7484,                 5.2395,                 1.8581,                      0,                      0,                      0,                      0,                 1.0876,                 6.6511,                 1.5752,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6501,                 5.6121,                 2.0516,                      0,                      0,                      0,                      0,                 1.0769,                 6.4864,                 1.5664,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  1.702,                 4.7781,                 2.0527,                      0,                      0,                      0,                      0,                 1.0591,                 6.2684,                 1.5465,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5561,                 5.0701,                 1.8081,                      0,                      0,                      0,                      0,                 1.0509,                 6.0652,                 1.4962,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.6511,                 4.2108,                 1.9512,                      0,                      0,                      0,                      0,                 1.0283,                 5.8446,                 1.4642,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.6158,                 4.4532,                 1.9667,                0.00649,                   0.25,                0.00565,                0.00565,                 0.9975,                 5.6122,                 1.4212,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.5702,                 4.3491,                 1.8826,                0.00649,                   0.25,                0.00835,                0.00835,                0.99729,                 5.4006,                 1.4101,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.4669,                 4.3096,                 1.7947,                0.00649,                   0.25,                0.01621,                0.01621,                0.99337,                 5.1735,                 1.3924,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.5054,                 3.9298,                 1.7917,                0.01282,                    0.5,                 0.0384,                0.03782,                 1.0098,                 4.9217,                 1.3952,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.3732,                 3.9069,                 1.8377,                0.01299,                    0.5,                0.07503,                0.07388,                 1.0012,                 4.5974,                 1.3787,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.3177,                 3.3702,                 1.7411,                0.56679,                    0.5,                0.28596,                0.28596,                0.96874,                 4.2026,                 1.3472,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.1834,                 3.2188,                  1.562,                 0.6493,                   0.25,                0.33083,                0.33083,                0.93367,                 3.7496,                 1.3015,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.4648,                 2.7779,                 1.8728,                      1,                0.43735,                 0.4975,                 0.4975,                0.88175,                  3.268,                  1.253,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.4938,                 2.5873,                 1.7997,                      1,                0.43735,                 0.4975,                 0.4975,                0.88175,                  3.268,                  1.253,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.4767,                 2.7681,                 1.7396,                0.97198,                    0.5,                0.66375,                0.58062,                0.80755,                 2.8408,                 1.2123,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.1819,                 2.8059,                 1.6062,                0.97198,                    0.5,                0.66375,                0.58062,                0.80755,                 2.8408,                 1.2123,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.1753,                 2.4484,                 1.4876,                0.97836,                    0.5,                0.72125,                0.62353,                0.80587,                 2.4105,                 1.1999,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                  1.451,                 1.9004,                 1.8399,                0.97836,                    0.5,                0.72125,                0.62353,                0.80587,                 2.4105,                 1.1999,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.4362,                 2.4979,                 1.6892,                0.98758,                    0.5,                0.74625,                0.67162,                0.77135,                 2.1475,                 1.1788,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.5633,                 2.3394,                 1.9008,                0.98758,                    0.5,                0.74625,                0.67162,                0.77135,                 2.1475,                 1.1788,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.1676,                 2.0343,                 1.5271,                0.98852,                    0.5,                0.74625,                0.67162,                0.74439,                 1.8268,                 1.1526,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                  1.324,                 2.2825,                 1.8289,                0.98852,                    0.5,                0.74625,                0.67162,                0.74439,                 1.8268,                 1.1526,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.2464,                 1.6966,                 1.5818,                0.98868,                    0.5,                0.82917,                0.74279,                 0.7194,                 1.5801,                 1.1374,             2.2976e-05,             2.2976e-05,             2.2976e-05
